(838537989.0, 2121.0)
profit, budget restant
départ, arrivée, numéro du camion
(68004, 78112, 4009)
(136538, 162145, 3780)
(91187, 156453, 3853)
(5108, 187574, 4386)
(199301, 33981, 4386)
(67888, 33903, 4386)
(94295, 95222, 4386)
(74296, 105785, 4386)
(77440, 188824, 4386)
(80230, 17347, 4159)
(46190, 24670, 4159)
(143801, 186037, 3780)
(86285, 110356, 3780)
(143807, 143675, 3780)
(4414, 36415, 4226)
(7985, 62707, 3853)
(186954, 87927, 4386)
(39411, 118035, 4386)
(10019, 5630, 3943)
(124300, 109447, 4159)
(7367, 13651, 4009)
(28082, 115753, 4009)
(126209, 131489, 4009)
(142091, 189983, 3538)
(176581, 28534, 4226)
(135459, 66732, 4226)
(27121, 102454, 4386)
(191432, 110342, 4386)
(91903, 198883, 3679)
(24942, 3656, 4159)
(36847, 167237, 4159)
(91152, 6442, 4009)
(34779, 43912, 4226)
(118651, 42749, 4386)
(73657, 171626, 4386)
(106385, 58302, 4386)
(94746, 32180, 3780)
(142313, 81868, 4386)
(51740, 49107, 3655)
(182604, 62892, 4159)
(116836, 92094, 3853)
(92609, 23832, 3853)
(103740, 162550, 4386)
(15765, 72847, 4386)
(60115, 173597, 4226)
(41171, 74289, 4226)
(110768, 86494, 4226)
(23550, 18407, 3655)
(140164, 167316, 4159)
(124548, 38587, 3943)
(70107, 50169, 3361)
(62835, 89375, 4226)
(32322, 66622, 4159)
(71299, 157937, 4159)
(165277, 69053, 4159)
(188251, 9270, 4159)
(150292, 113753, 3943)
(94470, 132235, 4386)
(134487, 144189, 4386)
(183253, 7772, 4159)
(83116, 30407, 4159)
(80521, 91374, 4159)
(178477, 75799, 3655)
(18556, 73956, 3943)
(101332, 43143, 4386)
(148004, 10678, 4159)
(179895, 138173, 3943)
(38613, 71964, 3853)
(13190, 76099, 4226)
(26274, 150493, 4009)
(84458, 149997, 4159)
(73507, 137108, 4386)
(136118, 64022, 3655)
(12448, 76698, 3943)
(193781, 178276, 3943)
(39599, 144659, 3780)
(185378, 113238, 4159)
(164332, 10554, 4159)
(90528, 84420, 4159)
(63370, 53441, 4386)
(128644, 11451, 4386)
(23254, 120223, 4386)
(7652, 100096, 4386)
(113358, 54241, 3853)
(28122, 171039, 3780)
(141558, 9710, 3780)
(69551, 178396, 4009)
(14153, 175962, 4009)
(59407, 127526, 4159)
(42035, 126098, 4159)
(145972, 187780, 4386)
(34020, 175836, 3853)
(80134, 96706, 3853)
(13096, 152743, 4159)
(92831, 163038, 4386)
(55865, 93846, 4386)
(121677, 180509, 4386)
(143906, 173217, 3679)
(99186, 50562, 3853)
(74944, 56676, 3780)
(161411, 27677, 4386)
(199136, 6785, 4386)
(60532, 37042, 4386)
(93231, 183443, 3943)
(49163, 21207, 3943)
(197954, 26512, 3943)
(136056, 11899, 3853)
(124557, 199754, 3655)
(9549, 20459, 4159)
(23683, 34042, 4159)
(677, 177527, 4159)
(42797, 80564, 4159)
(79511, 45241, 4009)
(14484, 149941, 4386)
(21381, 104511, 4226)
(199191, 180836, 4226)
(157672, 168385, 3943)
(109931, 188434, 3943)
(80911, 25293, 4159)
(112590, 188428, 4159)
(166614, 133337, 4159)
(66247, 199442, 4159)
(61566, 86903, 4159)
(160438, 4662, 4009)
(81731, 37456, 4226)
(941, 100921, 3679)
(64998, 196301, 4386)
(145908, 191070, 4386)
(41705, 36737, 4386)
(3313, 196151, 4386)
(10065, 179485, 3780)
(44112, 94406, 4226)
(45696, 62356, 4226)
(126910, 159581, 3943)
(126087, 2431, 4386)
(143902, 153278, 4386)
(35341, 145421, 4159)
(66194, 42662, 4159)
(143297, 80564, 4159)
(93154, 9309, 3853)
(12221, 20978, 4226)
(197986, 72321, 3943)
(52980, 149534, 4386)
(28067, 144713, 4386)
(86353, 144909, 4159)
(74416, 99563, 3538)
(106815, 94187, 4009)
(168724, 34727, 4226)
(86760, 110568, 3655)
(100223, 8836, 4386)
(1764, 113894, 4159)
(59832, 43957, 4159)
(9157, 25832, 3679)
(174662, 155406, 3853)
(7941, 42553, 4386)
(69914, 123050, 4386)
(10500, 181051, 3943)
(35345, 97936, 4159)
(172260, 44938, 4386)
(170972, 163668, 3655)
(7551, 700, 3943)
(108929, 14941, 4009)
(11411, 10021, 4386)
(112868, 46906, 4386)
(63979, 20867, 4386)
(152149, 38438, 3780)
(80462, 35481, 4159)
(38252, 76493, 4159)
(1064, 36933, 3943)
(115326, 37880, 4009)
(17899, 16788, 4386)
(190621, 117785, 4386)
(86257, 41374, 3780)
(53266, 24321, 4159)
(21693, 32593, 4159)
(185536, 105431, 3943)
(155964, 196552, 4386)
(119061, 52551, 3853)
(44595, 146924, 3853)
(50996, 198598, 4159)
(7343, 76601, 4159)
(89064, 9801, 4159)
(15181, 75698, 3943)
(174234, 119205, 4226)
(26424, 192520, 4009)
(69301, 153285, 4386)
(198689, 15692, 4386)
(11480, 96921, 4386)
(31594, 129355, 4386)
(170851, 122509, 4386)
(189507, 59880, 3780)
(169095, 90157, 4226)
(18566, 192994, 4386)
(27973, 47020, 3853)
(178332, 119693, 3518)
(35771, 113018, 3518)
(54253, 6550, 4159)
(2449, 175556, 3943)
(93894, 139781, 3943)
(164093, 49754, 4159)
(143019, 70895, 3780)
(7700, 5886, 3780)
(171692, 64750, 4386)
(129300, 145656, 4386)
(67597, 8924, 4386)
(130076, 2336, 4386)
(162383, 134830, 4386)
(118844, 31514, 4386)
(53760, 17113, 4159)
(60696, 37921, 4159)
(71493, 77954, 3853)
(84747, 161591, 3943)
(49559, 47142, 3943)
(73082, 13727, 4226)
(8021, 82380, 4386)
(173362, 171141, 3655)
(150535, 181822, 3853)
(184508, 115249, 4386)
(36811, 164364, 4226)
(144691, 11334, 4226)
(34177, 79561, 3943)
(185766, 2799, 3518)
(164108, 131841, 3780)
(97470, 168830, 3679)
(26914, 11057, 3538)
(300, 67079, 4159)
(73197, 112888, 4159)
(148264, 51817, 4159)
(199278, 155025, 3655)
(7614, 61950, 3655)
(37618, 118433, 4226)
(29765, 32768, 3780)
(59934, 26287, 3679)
(38133, 189743, 4159)
(121744, 105433, 4386)
(181318, 67832, 4386)
(39751, 55560, 4386)
(176096, 188527, 4226)
(187713, 33212, 3943)
(56173, 181951, 3587)
(26767, 121862, 4009)
(55027, 83285, 4009)
(61127, 40587, 4159)
(13069, 93672, 4159)
(132968, 165243, 4159)
(155465, 22272, 4159)
(163704, 9423, 4159)
(842, 3143, 4159)
(168957, 101100, 3518)
(67898, 73527, 3518)
(177633, 83518, 4226)
(151092, 34813, 4226)
(81100, 63263, 3853)
(143465, 14477, 3943)
(118774, 115663, 4159)
(26913, 198720, 4159)
(100585, 59558, 3780)
(62120, 69782, 4386)
(89142, 158073, 4226)
(24360, 174891, 4226)
(125712, 73985, 4159)
(23526, 86751, 3780)
(146864, 50413, 4226)
(18741, 2200, 3655)
(95399, 2374, 3655)
(90045, 36456, 3853)
(49553, 154430, 3853)
(121271, 198393, 4159)
(25403, 171370, 4159)
(177936, 195377, 4009)
(180210, 159121, 4386)
(131648, 85935, 4386)
(34937, 120776, 4159)
(63366, 38558, 4159)
(37073, 153212, 4159)
(3748, 26051, 4009)
(134563, 158472, 4386)
(26744, 7853, 3780)
(190754, 18775, 4226)
(18847, 47795, 4226)
(146423, 12580, 3943)
(174851, 58641, 3655)
(111300, 93491, 4159)
(161646, 10001, 4159)
(142552, 6237, 4386)
(44261, 195501, 3679)
(167406, 179372, 3943)
(175936, 13082, 4159)
(151853, 60252, 4386)
(178039, 79916, 4386)
(106549, 179628, 4386)
(107990, 192056, 4386)
(162093, 18283, 4226)
(40979, 17430, 4159)
(100160, 78768, 4386)
(98677, 143291, 4386)
(59264, 810, 4386)
(93915, 106333, 4009)
(186794, 136608, 4009)
(129680, 589, 4226)
(149700, 32182, 4159)
(78737, 81525, 4159)
(196223, 186015, 4159)
(196203, 172683, 4159)
(96704, 24610, 4386)
(5608, 141105, 4386)
(169365, 163141, 4386)
(99744, 9073, 3853)
(197566, 40248, 3853)
(102296, 142948, 3853)
(107038, 106496, 4009)
(44485, 132584, 4226)
(145737, 102113, 4226)
(46598, 77654, 4159)
(27214, 36568, 3943)
(171543, 170134, 3943)
(6229, 109998, 3853)
(79282, 2779, 3853)
(41060, 51450, 3853)
(122596, 199050, 3655)
(5275, 85772, 3518)
(54204, 174306, 3780)
(155738, 54972, 4386)
(78457, 13676, 4159)
(171262, 159942, 3853)
(43495, 131207, 4009)
(156066, 180711, 3655)
(33244, 8798, 4386)
(5605, 138365, 4386)
(73426, 27909, 4159)
(70215, 94075, 4159)
(9555, 44986, 3587)
(107269, 12651, 3853)
(123747, 156764, 4009)
(168220, 72164, 4386)
(77524, 140731, 4386)
(123366, 133411, 4386)
(147622, 79489, 4159)
(12789, 47002, 4159)
(139423, 60698, 4159)
(6399, 47758, 3943)
(123161, 13772, 3943)
(144969, 69181, 4226)
(23659, 196241, 4009)
(63960, 6610, 3853)
(11410, 59641, 4386)
(192994, 142350, 4386)
(93636, 145850, 4386)
(40781, 37620, 3655)
(36177, 119862, 4159)
(57217, 105391, 4159)
(168465, 7813, 4159)
(83276, 13920, 3780)
(149052, 155839, 3943)
(163309, 106036, 3853)
(37891, 8975, 3853)
(52817, 76233, 4386)
(58223, 118760, 4386)
(183162, 90556, 4159)
(83089, 164335, 4159)
(97325, 2411, 3943)
(118026, 40314, 3943)
(70662, 26011, 4009)
(18549, 78205, 3853)
(22796, 5854, 4386)
(122768, 7527, 4386)
(81292, 163967, 4386)
(123475, 84076, 4386)
(42516, 179388, 4159)
(9824, 2430, 4159)
(187631, 57851, 4159)
(22465, 43403, 3655)
(141787, 101214, 4226)
(124086, 55075, 4226)
(7122, 57860, 4009)
(9068, 47383, 4386)
(48936, 54247, 4386)
(58140, 62837, 4386)
(86386, 150550, 4159)
(42773, 163271, 3655)
(138123, 24125, 3780)
(32045, 16712, 4386)
(113961, 156160, 3943)
(164274, 101837, 4386)
(86917, 10007, 4386)
(52088, 114267, 4386)
(184378, 3056, 4009)
(19543, 40196, 4159)
(73680, 6962, 4159)
(37185, 11099, 4226)
(47307, 16123, 4386)
(162431, 135465, 3943)
(16686, 406, 4159)
(86032, 82728, 4226)
(14712, 173108, 4226)
(160027, 20366, 4386)
(36840, 57737, 4386)
(178223, 114950, 4386)
(32844, 188401, 4386)
(173866, 69758, 3943)
(89189, 129325, 3780)
(183611, 83325, 4159)
(26649, 137636, 3943)
(7613, 86910, 4009)
(60076, 136863, 4159)
(135393, 71286, 4226)
(84790, 110980, 4226)
(110248, 168638, 4386)
(127196, 57697, 4386)
(120198, 181420, 4386)
(26303, 51930, 4386)
(9913, 150916, 3943)
(52339, 68332, 4009)
(155776, 151466, 3853)
(161932, 13444, 4226)
(45319, 104895, 4386)
(124365, 183901, 4386)
(104562, 155887, 4386)
(13434, 189454, 4159)
(2966, 166616, 4159)
(160735, 109226, 4159)
(17988, 94532, 4009)
(131765, 69696, 4226)
(23328, 143705, 4386)
(169794, 22698, 4386)
(38967, 144236, 4386)
(135418, 40483, 4386)
(196239, 9923, 3853)
(18196, 89922, 3943)
(8954, 40965, 3518)
(161192, 17669, 3679)
(659, 115668, 4226)
(38531, 178477, 3655)
(55806, 12765, 3655)
(182272, 160369, 3853)
(53523, 29080, 4159)
(95024, 32176, 4159)
(11917, 196883, 4009)
(1270, 58484, 4009)
(137719, 13143, 4386)
(118714, 175432, 4226)
(111197, 148591, 3780)
(154445, 64248, 4159)
(49454, 13585, 4159)
(95002, 168795, 3943)
(199377, 96060, 4009)
(39316, 2838, 4009)
(51232, 185538, 4386)
(108578, 24506, 4226)
(106897, 155820, 3518)
(25715, 74726, 3655)
(16368, 120465, 3943)
(66575, 128059, 3943)
(136772, 94980, 4009)
(89899, 17428, 4386)
(196585, 183395, 4386)
(84437, 46865, 4386)
(22941, 83980, 4386)
(77013, 65932, 4226)
(67545, 199838, 3679)
(185759, 163261, 3679)
(72557, 1936, 3780)
(143383, 158243, 3780)
(70574, 108237, 3853)
(63679, 152205, 3853)
(199282, 27106, 3655)
(188816, 3983, 4386)
(86286, 135270, 4386)
(49789, 184970, 4386)
(3825, 56159, 4226)
(140011, 79492, 4226)
(161237, 123168, 3587)
(26173, 49236, 3853)
(191431, 6428, 4159)
(93482, 31558, 3655)
(37465, 102956, 3587)
(43312, 60075, 3780)
(196998, 59906, 3853)
(24872, 165676, 4386)
(29005, 93072, 4386)
(131887, 72191, 4386)
(164506, 7115, 3655)
(57567, 2542, 3655)
(95407, 25019, 3943)
(180604, 49266, 4226)
(105573, 46746, 4226)
(54000, 114016, 4159)
(30683, 148969, 4159)
(78341, 20067, 4386)
(72792, 168190, 4386)
(33404, 196928, 3853)
(4258, 159452, 3780)
(105186, 4763, 3780)
(17928, 86851, 3518)
(79199, 74897, 3943)
(77905, 47061, 4159)
(106088, 124671, 4159)
(39117, 102844, 4159)
(94333, 176300, 4386)
(129683, 34111, 4386)
(98343, 83435, 3587)
(26998, 2512, 3853)
(64292, 58936, 3853)
(188451, 10699, 3780)
(24744, 48628, 3780)
(3662, 165747, 3943)
(11666, 55703, 3943)
(59196, 57860, 4009)
(124373, 10178, 4009)
(2407, 12665, 3518)
(133048, 99023, 4386)
(79856, 407, 4386)
(71301, 24070, 4386)
(22860, 103976, 4159)
(79370, 55401, 4386)
(154126, 142889, 4386)
(17719, 199948, 4226)
(51513, 140714, 3679)
(1101, 23441, 3943)
(197234, 168038, 3943)
(23716, 81713, 3943)
(101917, 153266, 4009)
(55113, 178961, 4386)
(139595, 6800, 4386)
(46547, 169319, 4386)
(93251, 40032, 4226)
(87558, 192550, 4226)
(17324, 97277, 3853)
(85013, 6152, 3943)
(94562, 11637, 4009)
(42460, 186936, 3780)
(28364, 160, 3538)
(35992, 149961, 4386)
(29913, 142409, 4386)
(185465, 178057, 4386)
(110746, 152494, 4159)
(45130, 56494, 4226)
(138733, 86257, 4226)
(93471, 5281, 3853)
(25530, 175396, 3943)
(11409, 22217, 4386)
(69068, 61669, 4386)
(28139, 182080, 4386)
(78453, 169934, 3655)
(198660, 39052, 3518)
(66642, 75530, 4226)
(35214, 80742, 3943)
(25850, 49131, 4386)
(121723, 7724, 4386)
(51132, 104233, 4386)
(135520, 74382, 4159)
(143860, 146847, 4159)
(135674, 109271, 3655)
(36238, 109481, 4226)
(131743, 3252, 4009)
(5926, 142137, 4009)
(90026, 40161, 3943)
(47914, 31745, 4386)
(22393, 135724, 4386)
(111098, 137302, 4159)
(159959, 177827, 4386)
(163430, 34857, 4386)
(67710, 65759, 3943)
(197650, 128069, 3853)
(18304, 169334, 3587)
(191520, 24542, 4226)
(90326, 26411, 4226)
(94475, 65892, 4386)
(80447, 150483, 4386)
(128913, 90600, 4386)
(180444, 17715, 3943)
(37782, 37749, 4226)
(90502, 44941, 4009)
(154058, 44278, 3943)
(138272, 64021, 4159)
(80404, 182570, 4159)
(20435, 151712, 4226)
(14839, 108124, 3260)
(156868, 164851, 4386)
(191695, 147070, 4386)
(123934, 96551, 4386)
(11200, 105239, 4009)
(88112, 17830, 4159)
(70365, 172223, 4159)
(70000, 193217, 4159)
(69030, 54489, 3943)
(142406, 155637, 3853)
(49904, 11670, 4226)
(144852, 88027, 4386)
(38937, 166440, 4159)
(47480, 186675, 4159)
(17229, 15539, 4009)
(32437, 50131, 4386)
(49237, 39421, 4386)
(90698, 109686, 4386)
(173359, 149652, 4159)
(8874, 84671, 4159)
(1498, 23464, 3853)
(42821, 142091, 4386)
(12826, 115375, 4386)
(17696, 115107, 3780)
(165260, 89946, 3780)
(145097, 82696, 4159)
(113178, 1529, 3943)
(39342, 24352, 3655)
(73080, 15336, 4226)
(131184, 113373, 3853)
(6158, 18968, 4386)
(167632, 92281, 4159)
(52215, 87252, 4159)
(37651, 129167, 4009)
(96766, 1678, 3943)
(193058, 63470, 4226)
(171837, 162169, 4386)
(103071, 173907, 4386)
(74743, 595, 4386)
(45781, 39541, 3780)
(100491, 135047, 4159)
(58697, 58670, 4159)
(143263, 51611, 4159)
(12559, 9488, 3518)
(96727, 10886, 4226)
(4157, 102173, 4226)
(5198, 35545, 4386)
(47374, 26910, 4386)
(54677, 839, 4386)
(134009, 7619, 3853)
(104005, 44917, 4159)
(35857, 186532, 3780)
(122275, 36115, 4226)
(178930, 22816, 3943)
(181064, 157632, 4386)
(22211, 31458, 3655)
(24159, 77537, 3853)
(104848, 69200, 4159)
(15328, 20012, 4009)
(136869, 42672, 4226)
(42305, 158117, 4226)
(19853, 4455, 4226)
(188826, 57271, 4386)
(15065, 33476, 3853)
(13910, 1998, 4159)
(77300, 21281, 4159)
(11526, 141577, 4386)
(32639, 84331, 4009)
(19455, 149282, 3943)
(11256, 148807, 3853)
(45985, 8949, 3853)
(122729, 134875, 4159)
(193588, 47964, 4159)
(57705, 164802, 4386)
(143087, 125583, 4226)
(162248, 57653, 4226)
(2551, 188703, 3780)
(128885, 10276, 3780)
(131589, 102719, 4159)
(45624, 123216, 3943)
(43879, 137546, 4159)
(100536, 141343, 4159)
(136914, 12997, 4386)
(11781, 152434, 4386)
(149344, 199291, 4386)
(140001, 18532, 4386)
(127588, 104092, 3655)
(154889, 40430, 4226)
(92629, 98872, 4009)
(95620, 80738, 3780)
(142222, 65884, 3943)
(188127, 177642, 4159)
(580, 81813, 3679)
(167434, 30508, 4386)
(47794, 68605, 3518)
(133989, 18797, 4009)
(108490, 89612, 3780)
(171912, 54585, 3943)
(173783, 146253, 3943)
(50574, 157220, 4386)
(114509, 53456, 4386)
(67472, 433, 4386)
(69851, 15670, 3679)
(33091, 132733, 3655)
(162077, 54953, 3655)
(13966, 20758, 3943)
(155972, 13920, 4159)
(37944, 105519, 4159)
(114891, 19994, 4159)
(87290, 7723, 4386)
(196201, 97530, 4226)
(21633, 21163, 4226)
(46263, 57695, 3780)
(185296, 23370, 4159)
(66637, 18137, 4386)
(127264, 20122, 4386)
(146501, 198847, 4386)
(37342, 36085, 4386)
(56947, 121662, 4386)
(110204, 99773, 4009)
(23629, 22364, 3655)
(154493, 134875, 4159)
(73337, 177461, 4159)
(8285, 8136, 3853)
(22073, 102175, 3943)
(100316, 58303, 4386)
(100223, 2023, 4386)
(5423, 166533, 4159)
(76457, 2678, 4159)
(103887, 99039, 4159)
(198790, 57400, 3780)
(34110, 193596, 3780)
(81903, 144592, 3780)
(134487, 130182, 4386)
(49438, 186636, 4386)
(75142, 45315, 4386)
(63929, 12623, 4159)
(137801, 7967, 3655)
(110901, 10255, 3655)
(73982, 16528, 4226)
(34888, 174701, 4009)
(171711, 48317, 4386)
(107328, 60834, 4386)
(64952, 161573, 3679)
(15759, 155291, 4159)
(153942, 137777, 4159)
(181821, 98534, 3780)
(24854, 75032, 4386)
(43410, 7180, 4386)
(10852, 81229, 3853)
(176162, 10140, 3853)
(82436, 11265, 3943)
(97101, 42830, 3943)
(9430, 179225, 3587)
(100415, 158365, 4226)
(76327, 167174, 3655)
(86339, 193084, 4386)
(69319, 16534, 4009)
(49664, 147954, 4009)
(13879, 167721, 3853)
(11210, 102200, 4159)
(6885, 53034, 3655)
(25347, 198921, 3655)
(89004, 146836, 3780)
(167613, 98400, 3780)
(174721, 194930, 4386)
(36728, 133775, 4386)
(114156, 15604, 4386)
(7221, 12310, 4009)
(39092, 18833, 4386)
(77154, 161461, 4386)
(4921, 189253, 4386)
(106773, 138412, 4386)
(172291, 192641, 4386)
(40597, 39981, 4159)
(5321, 48016, 4226)
(46688, 98601, 4386)
(130143, 156467, 4159)
(98900, 24271, 4159)
(142850, 141513, 4226)
(98735, 39288, 4226)
(198896, 80703, 4226)
(41016, 162881, 3943)
(14497, 61668, 3943)
(17568, 194214, 3943)
(169070, 126227, 3943)
(174676, 132030, 4159)
(43062, 47033, 3260)
(57366, 87887, 4226)
(83804, 14979, 4226)
(39296, 30031, 3853)
(53001, 123742, 3943)
(18389, 196595, 4386)
(139629, 1868, 4386)
(164372, 77075, 4159)
(131337, 102178, 3587)
(197345, 37732, 3780)
(47934, 38451, 3853)
(24921, 52979, 3943)
(8068, 83854, 4386)
(60233, 91951, 3780)
(116533, 135758, 3780)
(18469, 192045, 4009)
(128701, 64227, 3853)
(58652, 25142, 4386)
(157084, 134858, 4386)
(61172, 194154, 4386)
(119448, 54742, 4159)
(79827, 10983, 4159)
(16838, 77735, 4009)
(89201, 138682, 4226)
(182552, 75846, 3655)
(7298, 38433, 3655)
(140689, 109662, 4386)
(112206, 1477, 4386)
(98866, 116809, 4159)
(124666, 2784, 3538)
(19905, 32152, 4009)
(45225, 60843, 4386)
(182722, 3454, 4386)
(30966, 37221, 4386)
(62787, 171553, 3853)
(78595, 117538, 4159)
(2615, 194589, 4226)
(149555, 151337, 3518)
(43071, 151363, 4009)
(165236, 113704, 4159)
(95858, 104447, 4159)
(147111, 131044, 4226)
(143080, 113876, 4386)
(101130, 61833, 4386)
(124183, 110789, 3538)
(65756, 30666, 3780)
(91314, 13989, 3943)
(137731, 99917, 3853)
(185040, 193419, 4226)
(182121, 33765, 4386)
(9567, 90082, 4386)
(123380, 34776, 3655)
(172268, 126588, 4386)
(65943, 38327, 4009)
(123859, 43303, 4009)
(198790, 178197, 3780)
(10885, 91745, 4159)
(47164, 164297, 3853)
(2299, 109239, 3655)
(187449, 52690, 4386)
(76649, 135733, 4386)
(94646, 128027, 4386)
(133433, 99655, 4386)
(77511, 67295, 4386)
(20122, 126439, 4226)
(95917, 62969, 4226)
(39902, 8428, 4159)
(39227, 84947, 3780)
(5787, 7186, 3518)
(61077, 54258, 3853)
(85988, 66196, 4386)
(171337, 18096, 4226)
(2408, 138876, 4226)
(138896, 73962, 4009)
(103081, 25889, 4009)
(25378, 83019, 3405)
(69638, 6724, 4159)
(27029, 19066, 3943)
(188685, 16667, 3780)
(72784, 130431, 4386)
(127219, 21386, 3853)
(49976, 4773, 3655)
(153213, 85215, 4159)
(22912, 11511, 4159)
(166696, 42890, 3943)
(180210, 22858, 4386)
(24125, 20423, 3780)
(113218, 33040, 4009)
(140733, 92598, 4009)
(95237, 84107, 4159)
(181930, 66264, 4159)
(188889, 103096, 4159)
(9693, 171672, 3943)
(187476, 92871, 4386)
(114525, 18898, 4386)
(50586, 136487, 4226)
(103890, 83526, 3679)
(532, 51109, 3853)
(58636, 112166, 4159)
(95996, 12122, 4159)
(16141, 34889, 3853)
(131778, 103746, 3853)
(77790, 46415, 4386)
(2698, 4488, 4386)
(76162, 1948, 4159)
(23196, 69851, 4386)
(15099, 153573, 4386)
(10659, 45276, 4386)
(174, 144277, 4386)
(47292, 17393, 3518)
(139136, 12388, 4226)
(4648, 184609, 3943)
(165027, 181027, 3943)
(58097, 135369, 3853)
(150406, 59893, 3853)
(174206, 42668, 4009)
(41651, 92396, 4159)
(78871, 10913, 4159)
(174620, 177433, 4386)
(37000, 192886, 4159)
(40308, 138069, 4159)
(21758, 15262, 4159)
(143358, 35546, 3943)
(31818, 160675, 3655)
(71094, 48537, 4159)
(40535, 8613, 4159)
(109166, 178134, 4226)
(155146, 83025, 3943)
(145959, 79283, 4386)
(191927, 158558, 4386)
(123815, 160737, 3853)
(20166, 70232, 3538)
(171803, 150207, 4386)
(112951, 183651, 4386)
(2784, 20399, 4386)
(30242, 29156, 4009)
(3419, 76226, 3853)
(122161, 77209, 4226)
(186429, 149340, 4226)
(182708, 44510, 4386)
(156433, 157678, 4009)
(196208, 17824, 4009)
(155244, 170286, 4226)
(132542, 182144, 4386)
(131280, 55837, 4159)
(153615, 57169, 4159)
(114467, 185149, 4159)
(140455, 24043, 4159)
(3258, 37257, 3655)
(194719, 24182, 3853)
(33650, 125720, 3853)
(107605, 81415, 3780)
(175816, 122980, 4386)
(86104, 61910, 4159)
(86034, 157570, 4159)
(22973, 29279, 4226)
(148624, 158632, 4009)
(53018, 94750, 3853)
(98075, 81773, 3780)
(88522, 76331, 4386)
(71210, 83031, 4159)
(101792, 107841, 4159)
(60122, 90861, 4159)
(498, 9049, 3655)
(27630, 37152, 4159)
(187365, 12028, 4159)
(68985, 157258, 4159)
(3996, 90158, 4226)
(130723, 141433, 3587)
(71166, 126228, 4386)
(471, 92332, 4386)
(79322, 178639, 4386)
(89289, 130741, 3780)
(20374, 144177, 4159)
(38754, 13440, 3679)
(148490, 182801, 4009)
(15008, 61449, 4386)
(40154, 12555, 3538)
(53617, 39535, 3518)
(77910, 131678, 4226)
(13927, 14148, 4226)
(136148, 192982, 4009)
(23267, 18459, 4159)
(2383, 4653, 4159)
(98615, 54131, 4159)
(172693, 81713, 3943)
(35994, 149345, 3943)
(73662, 110511, 4386)
(64629, 104888, 4386)
(126306, 107603, 4386)
(88268, 175, 3853)
(12837, 27293, 3853)
(26848, 33260, 3655)
(100651, 67356, 4159)
(137583, 52780, 3780)
(152762, 98589, 3780)
(14118, 67566, 3780)
(8690, 105189, 4386)
(35486, 7152, 4386)
(12833, 158241, 4386)
(43014, 143514, 4386)
(2093, 183850, 4386)
(15058, 26923, 4009)
(69953, 83828, 4009)
(185010, 71915, 4009)
(153566, 8546, 3518)
(145288, 41594, 4159)
(48725, 131131, 4159)
(154124, 134643, 4159)
(147790, 7214, 4159)
(1175, 73283, 4159)
(173089, 121227, 4159)
(192451, 41830, 3853)
(165701, 108269, 3655)
(27221, 117113, 4226)
(50397, 170393, 4386)
(169021, 173711, 4386)
(15802, 19318, 4386)
(133672, 118454, 4386)
(22066, 43578, 4386)
(23995, 3551, 4009)
(28285, 117538, 4159)
(89220, 142078, 4159)
(137179, 45957, 4159)
(16266, 66024, 4159)
(541, 140013, 3943)
(189847, 95990, 4226)
(28070, 183433, 4226)
(23719, 142544, 4226)
(154784, 105573, 4226)
(152712, 49803, 3780)
(8240, 146021, 4386)
(30760, 43218, 3538)
(146978, 114562, 4159)
(2252, 8009, 4159)
(28125, 99937, 3679)
(115494, 91234, 3853)
(187060, 22729, 3943)
(124090, 98965, 4226)
(178923, 41993, 4386)
(99696, 122515, 4386)
(45693, 148969, 4386)
(175784, 92021, 3780)
(72555, 173046, 4159)
(5339, 7920, 3679)
(148380, 31775, 4386)
(80523, 61756, 4386)
(122745, 150361, 3853)
(11125, 60637, 3780)
(97411, 190304, 4009)
(24352, 139154, 4009)
(30905, 78735, 4009)
(110252, 196151, 4386)
(175577, 77215, 3943)
(52497, 92843, 3655)
(61462, 5957, 4009)
(120059, 138720, 4159)
(2509, 44033, 4159)
(53267, 131860, 4386)
(49237, 161924, 4386)
(166355, 156110, 4386)
(84515, 40417, 3943)
(134430, 183185, 3853)
(54898, 171039, 3780)
(17866, 57423, 3655)
(179311, 75367, 4009)
(11852, 115239, 4009)
(185431, 189917, 4159)
(5428, 35869, 4159)
(9267, 44413, 4386)
(57132, 11214, 4226)
(122161, 31316, 4226)
(131195, 149341, 3853)
(55755, 69001, 4009)
(182949, 63124, 4159)
(2340, 62392, 4159)
(98990, 108840, 4159)
(102066, 103646, 4386)
(51168, 3819, 3943)
(150877, 32, 3943)
(110190, 86081, 3943)
(64623, 98068, 4386)
(128566, 79622, 3943)
(45159, 103819, 4159)
(187790, 193552, 4159)
(31154, 191386, 4159)
(146769, 104173, 4159)
(122245, 68672, 4009)
(90141, 181335, 4386)
(49056, 150867, 4386)
(188951, 36302, 3780)
(133384, 87740, 3780)
(178967, 6124, 4386)
(68056, 146993, 4226)
(12965, 99258, 3780)
(133591, 45046, 3780)
(36445, 9826, 3518)
(4282, 64545, 3943)
(185618, 183073, 4423)
(49685, 1452, 3853)
(123512, 61322, 4386)
(37859, 16761, 4386)
(90019, 56440, 4386)
(69035, 59509, 3780)
(2737, 179664, 3587)
(8616, 112844, 3943)
(78154, 180326, 4386)
(37246, 112191, 4386)
(115146, 85489, 4159)
(67297, 144681, 4159)
(154723, 167900, 4159)
