(838537989.0, 2121.0)
profit, budget restant
départ, arrivée, numéro du camion
(102914, 107704, 3518)
(32414, 96092, 3655)
(70390, 27901, 3679)
(161283, 15854, 3518)
(180711, 166670, 3518)
(137370, 117882, 3655)
(62364, 117050, 3587)
(82156, 16631, 3679)
(44963, 6013, 3679)
(19539, 3085, 3518)
(104, 174085, 3655)
(83686, 39367, 3587)
(26460, 6306, 3518)
(52411, 108052, 3587)
(117564, 14101, 3587)
(36201, 26149, 3518)
(27889, 160898, 3655)
(43022, 40313, 3655)
(85172, 198935, 3655)
(40993, 39996, 3655)
(102249, 9853, 3405)
(163378, 48058, 3518)
(79429, 1247, 3655)
(68512, 98914, 3587)
(121019, 84438, 3587)
(112923, 175769, 3655)
(85364, 108695, 3518)
(110967, 22863, 3655)
(176394, 40893, 3405)
(97344, 181704, 3655)
(199896, 10970, 3538)
(173512, 160092, 3518)
(64144, 15921, 3655)
(60133, 33331, 3518)
(104483, 5277, 3518)
(54326, 57242, 3655)
(3563, 97696, 3655)
(124849, 91092, 3655)
(27543, 84126, 3655)
(114448, 182074, 3587)
(52747, 614, 3518)
(67693, 64543, 3518)
(80225, 70000, 3655)
(77292, 124701, 3518)
(66290, 4338, 3655)
(35722, 160439, 3655)
(80093, 86061, 3538)
(141449, 3318, 3655)
(13405, 20686, 3679)
(50032, 13292, 3679)
(21339, 91394, 3518)
(87123, 5407, 3518)
(59101, 119087, 3405)
(69850, 95913, 3655)
(68346, 67787, 3587)
(121115, 143748, 3518)
(90546, 83378, 3655)
(60747, 89690, 3655)
(109657, 164269, 3518)
(34643, 44679, 3655)
(122977, 99673, 3655)
(40575, 13660, 3538)
(165275, 91166, 3538)
(62298, 153000, 3587)
(67292, 38813, 3655)
(114230, 61665, 3679)
(95920, 193598, 3679)
(144405, 82300, 3655)
(198374, 12962, 3518)
(9677, 95118, 3679)
(83729, 177416, 3655)
(85737, 12683, 3655)
(84590, 124684, 3518)
(187499, 1584, 3679)
(85485, 16485, 3655)
(116241, 91090, 3655)
(169922, 58827, 3655)
(66119, 165095, 3679)
(78898, 31049, 3361)
(186542, 25590, 3655)
(32867, 94642, 3655)
(28888, 6021, 3655)
(171432, 8385, 3587)
(57206, 151331, 3518)
(150752, 769, 3655)
(80157, 108281, 3655)
(60155, 93076, 3587)
(11248, 1874, 3587)
(117507, 16920, 3679)
(82109, 128351, 3587)
(123076, 12061, 3655)
(72157, 102520, 3518)
(128479, 5589, 3518)
(163271, 90226, 3655)
(142794, 92896, 3655)
(19582, 53438, 3679)
(37102, 174032, 3655)
(1534, 5075, 3655)
(76245, 78054, 3679)
(140359, 151246, 3679)
(26591, 11780, 3655)
(26922, 195877, 3518)
(158762, 37938, 3679)
(25664, 88909, 3518)
(33238, 8432, 3518)
(97102, 46092, 3655)
(146346, 63572, 3655)
(80824, 5719, 3655)
(135543, 13923, 3518)
(151708, 84290, 3518)
(3699, 12307, 3655)
(40414, 191014, 3518)
(4335, 163609, 3518)
(187714, 187020, 3655)
(109308, 122213, 3518)
(61748, 90159, 3518)
(42629, 114207, 3655)
(7639, 10505, 3518)
(190075, 14735, 3587)
(178026, 135194, 3655)
(75408, 135401, 3655)
(48012, 63524, 3655)
(9464, 163837, 3655)
(198857, 82430, 3655)
(21571, 179206, 3679)
(87210, 14951, 3679)
(194509, 87326, 3655)
(15858, 744, 3655)
(36792, 160762, 3679)
(83526, 49761, 3679)
(11000, 10704, 3679)
(73131, 25859, 3655)
(196846, 19250, 3587)
(34024, 66211, 3587)
(127330, 9998, 3518)
(1399, 88859, 3655)
(11857, 21218, 3587)
(73700, 73566, 3655)
(44418, 145113, 3538)
(21013, 132028, 3679)
(8228, 2561, 3655)
(186273, 12511, 3655)
(57886, 162512, 3518)
(46017, 35318, 3655)
(31353, 5060, 3679)
(196912, 130993, 3518)
(26008, 193058, 3518)
(42066, 137617, 3587)
(99411, 177641, 3518)
(151856, 70632, 3518)
(29609, 69384, 3518)
(33363, 121421, 3518)
(166805, 94229, 3518)
(193714, 179591, 3518)
(147211, 75866, 3538)
(155000, 147124, 3655)
(155814, 50861, 3587)
(95920, 105618, 3679)
(117440, 27803, 3655)
(132, 13250, 3679)
(24992, 58215, 3518)
(15986, 12378, 3518)
(56627, 90546, 3655)
(168815, 59229, 3518)
(43403, 86211, 3655)
(149554, 83093, 3679)
(186794, 11941, 3518)
(7464, 122596, 3655)
(171779, 190662, 3518)
(106487, 18093, 3655)
(164307, 98257, 3538)
(13923, 20137, 3655)
(23755, 161002, 3538)
(86017, 187699, 3587)
(7516, 63572, 3518)
(74469, 163606, 3679)
(146271, 32786, 3518)
(114949, 156822, 3655)
(21110, 91608, 3587)
(86033, 57711, 3679)
(195879, 142665, 3655)
(22415, 127821, 3655)
(73036, 168164, 3260)
(133248, 30131, 3518)
(148962, 106478, 3655)
(40800, 136649, 3518)
(110226, 66744, 3518)
(196035, 38838, 3518)
(18623, 199361, 3655)
(14958, 91582, 3655)
(38180, 25075, 3587)
(28053, 10289, 3679)
(164550, 129780, 3518)
(198191, 2464, 3518)
(16583, 52474, 3655)
(132623, 12791, 3361)
(26799, 186105, 3655)
(13006, 69522, 3679)
(149372, 69250, 3780)
(170136, 125317, 3655)
(355, 112598, 3780)
(3500, 14, 3587)
(87558, 90851, 3780)
(19043, 114132, 3780)
(43311, 57829, 3780)
(90198, 85133, 3518)
(6690, 175348, 3780)
(3152, 32100, 3780)
(52200, 18270, 3679)
(150409, 63828, 3587)
(1887, 56054, 3361)
(110460, 92613, 3518)
(63203, 104088, 3518)
(2214, 75737, 3518)
(43702, 154825, 3780)
(79746, 92877, 3780)
(30349, 37652, 3587)
(131913, 131179, 3780)
(199696, 15575, 3780)
(115421, 82332, 3780)
(5409, 159214, 3780)
(123445, 66401, 3780)
(97777, 28651, 3780)
(64311, 156991, 3587)
(32668, 33189, 3780)
(18600, 177210, 3780)
(140834, 131826, 3780)
(108811, 87515, 3655)
(714, 27625, 3518)
(12048, 118120, 3655)
(180061, 186579, 3655)
(40319, 46722, 3655)
(157120, 21999, 3780)
(975, 38914, 3518)
(53438, 12054, 3679)
(66817, 6866, 3655)
(80177, 154960, 3780)
(100499, 70519, 3780)
(4271, 170711, 3587)
(40491, 1870, 3780)
(143254, 194904, 3518)
(9189, 109193, 3780)
(92802, 64447, 3655)
(140620, 108563, 3780)
(176936, 92490, 3780)
(40592, 9721, 3679)
(191997, 64593, 3655)
(143480, 198893, 3780)
(39282, 23214, 3518)
(36323, 105606, 3780)
(82636, 189365, 3780)
(7660, 23555, 3780)
(7414, 163059, 3780)
(63311, 178680, 3780)
(47445, 8669, 3587)
(81613, 4929, 3679)
(52779, 184657, 3655)
(13361, 91937, 3655)
(141001, 97653, 3655)
(36296, 50530, 3780)
(117465, 8848, 3587)
(45787, 35435, 3655)
(48, 24504, 3518)
(2371, 51232, 3780)
(49064, 110790, 3518)
(77541, 38026, 3780)
(142856, 185782, 3538)
(69864, 20494, 3780)
(165216, 27959, 3679)
(115361, 158972, 3679)
(199372, 104008, 3655)
(131689, 28001, 3780)
(59538, 52797, 3780)
(22383, 24154, 3655)
(25360, 130014, 3655)
(25209, 41047, 3518)
(94131, 91564, 3587)
(85405, 161560, 3780)
(742, 52184, 3655)
(43936, 139246, 3780)
(69035, 116610, 3780)
(63677, 100093, 3780)
(25123, 8613, 3780)
(4704, 95713, 3518)
(182937, 188467, 3780)
(114427, 94713, 3780)
(1070, 141888, 3518)
(15825, 20198, 3780)
(128104, 40066, 3587)
(68723, 165217, 3518)
(68972, 109236, 3518)
(30942, 5680, 3679)
(56002, 65037, 3655)
(52158, 158201, 3679)
(179469, 53463, 3780)
(103668, 115802, 3655)
(128397, 61682, 3518)
(174719, 121851, 3655)
(89565, 91166, 3518)
(140359, 64423, 3780)
(144322, 137676, 3780)
(21381, 70279, 3655)
(188608, 1284, 3780)
(184532, 116205, 3780)
(172013, 59422, 3780)
(166107, 157652, 3780)
(55185, 7491, 3679)
(24313, 90731, 3679)
(25664, 179369, 3780)
(3266, 48826, 3780)
(161798, 185375, 3780)
(2263, 66982, 3655)
(177392, 92642, 3518)
(44073, 131723, 3587)
(50650, 121377, 3780)
(194492, 153947, 3780)
(155962, 23370, 3587)
(7486, 38914, 3655)
(143437, 126760, 3655)
(118395, 11066, 3780)
(29118, 17402, 3679)
(31027, 109416, 3780)
(66451, 28197, 3587)
(86577, 126773, 3655)
(56287, 4740, 3587)
(33913, 179152, 3655)
(105581, 39178, 3655)
(7167, 81396, 3780)
(197585, 73978, 3780)
(35138, 93117, 3655)
(182529, 95453, 3518)
(24475, 75698, 3587)
(180635, 169922, 3780)
(56893, 142815, 3518)
(193286, 78373, 3780)
(184189, 134586, 3518)
(9219, 55480, 3780)
(110935, 186341, 3780)
(43468, 265, 3518)
(106897, 194103, 3518)
(61257, 64325, 3780)
(94680, 40309, 3780)
(75053, 178999, 3518)
(156080, 91903, 3679)
(10679, 13748, 3655)
(61372, 179372, 3780)
(177856, 6691, 3518)
(105142, 54797, 3780)
(43966, 179640, 3780)
(216, 106158, 3679)
(279, 175145, 3780)
(190632, 108084, 3655)
(113727, 78910, 3518)
(128261, 174852, 3780)
(9746, 198758, 3518)
(47099, 114508, 3780)
(165812, 114148, 3518)
(66605, 30247, 3780)
(9898, 108420, 3655)
(123278, 83083, 3361)
(4535, 96268, 3587)
(84704, 106877, 3587)
(177820, 107302, 3655)
(95289, 176691, 3780)
(8750, 146428, 3780)
(15649, 115020, 3655)
(75641, 17216, 3518)
(54855, 74851, 3518)
(137818, 126725, 3655)
(189060, 6451, 3780)
(55243, 25015, 3655)
(73219, 179303, 3780)
(93162, 41052, 3780)
(149140, 36043, 3587)
(170739, 186926, 3655)
(60698, 41789, 3655)
(151417, 9150, 3655)
(117901, 124482, 3780)
(5797, 28957, 3655)
(9867, 185070, 3518)
(29209, 80793, 3780)
(83572, 109464, 3361)
(26778, 35233, 3655)
(88117, 142684, 3655)
(176970, 148289, 3655)
(174995, 42831, 3780)
(179591, 127284, 3587)
(84618, 29340, 3538)
(100659, 143047, 3655)
(10466, 123618, 3518)
(7292, 88395, 3587)
(5372, 30822, 3587)
(18743, 49824, 3780)
(128351, 50441, 3655)
(5704, 129503, 3780)
(186018, 102463, 3655)
(87031, 153266, 3780)
(122525, 69808, 3587)
(316, 11327, 3655)
(180989, 97245, 3655)
(104569, 10332, 3780)
(57482, 116734, 3538)
(135297, 143343, 3780)
(93844, 18572, 3780)
(55086, 45302, 3780)
(155830, 164013, 3518)
(48885, 4369, 3780)
(104629, 48205, 3780)
(144504, 55908, 3587)
(14824, 16650, 3780)
(93466, 115132, 3780)
(90953, 100146, 3284)
(176394, 155033, 3518)
(93141, 73996, 3655)
(10155, 136769, 3655)
(1251, 22695, 3518)
(107395, 176550, 3780)
(119589, 65182, 3780)
(64004, 136928, 3780)
(179629, 15027, 3780)
(88718, 193531, 3655)
(3098, 6648, 3679)
(44390, 68413, 3780)
(48355, 91244, 3780)
(114549, 26774, 3780)
(4569, 123870, 3780)
(76194, 100086, 3679)
(14554, 27180, 3587)
(6013, 82781, 3780)
(1905, 117032, 3780)
(50364, 21218, 3518)
(108432, 56869, 3655)
(25399, 13501, 3655)
(156497, 54413, 3587)
(16477, 47967, 3518)
(127288, 174287, 3655)
(195836, 147180, 3679)
(50804, 11052, 3655)
(2427, 59551, 3518)
(28890, 145491, 3679)
(134361, 41992, 3780)
(191147, 159329, 3780)
(8217, 175006, 3780)
(104354, 136446, 3780)
(70578, 49114, 3780)
(3951, 111742, 3853)
(9300, 62280, 3780)
(91532, 120810, 3587)
(7933, 56930, 3518)
(23746, 11780, 3518)
(12182, 53055, 3853)
(41294, 22636, 3780)
(120840, 129763, 3780)
(19413, 14342, 3518)
(147557, 93746, 3780)
(43896, 27751, 3853)
(157859, 14735, 3518)
(183131, 112087, 3780)
(37494, 39260, 3853)
(185705, 40115, 3518)
(91741, 191501, 3518)
(4322, 144394, 3853)
(110585, 112829, 3853)
(156878, 111662, 3538)
(80458, 8954, 3780)
(1029, 18042, 3780)
(1060, 16010, 3518)
(72716, 44516, 3518)
(1721, 7243, 3518)
(84411, 174692, 3853)
(13560, 196726, 3853)
(42186, 4455, 3853)
(143851, 952, 3655)
(34515, 28203, 3780)
(115325, 173512, 3655)
(147608, 11338, 3780)
(44419, 49540, 3518)
(9477, 42557, 3780)
(92007, 10817, 3679)
(68811, 38733, 3679)
(82542, 114205, 3780)
(185099, 29752, 3361)
(43833, 134138, 3780)
(139760, 86052, 3780)
(104533, 17239, 3853)
(5721, 18212, 3853)
(71943, 64574, 3655)
(161859, 129902, 3587)
(170296, 32930, 3853)
(92362, 71656, 3655)
(131039, 155421, 3655)
(42679, 49365, 3853)
(40117, 54842, 3853)
(147124, 149571, 3655)
(1662, 1474, 3518)
(195770, 52327, 3655)
(90265, 124208, 3853)
(192226, 51580, 3655)
(16665, 175768, 3853)
(162832, 161528, 3853)
(133941, 192959, 3780)
(111082, 63703, 3853)
(192983, 107337, 3853)
(86593, 112385, 3780)
(46750, 118131, 3780)
(173821, 21871, 3587)
(28123, 22026, 3853)
(18587, 36601, 3853)
(2458, 66593, 3853)
(159754, 144206, 3853)
(95197, 130885, 3518)
(40192, 17025, 3780)
(177024, 134273, 3679)
(152712, 14867, 3780)
(2417, 13361, 3780)
(119501, 29502, 3780)
(48593, 86765, 3679)
(191143, 120704, 3518)
(63445, 10508, 3518)
(19593, 33175, 3853)
(59140, 12139, 3679)
(9242, 195836, 3518)
(141863, 31420, 3538)
(176920, 179469, 3853)
(112365, 182289, 3853)
(185063, 134643, 3780)
(98102, 13744, 3655)
(62855, 18291, 3655)
(21242, 146713, 3780)
(45527, 109574, 3655)
(129408, 29285, 3853)
(8678, 185663, 3587)
(104380, 22051, 3587)
(124288, 57544, 3780)
(4472, 143393, 3780)
(38107, 70046, 3587)
(17895, 41865, 3518)
(2744, 24216, 3518)
(195340, 190157, 3518)
(120193, 126049, 3780)
(41078, 87138, 3518)
(131913, 14, 3655)
(42679, 19854, 3853)
(173071, 3929, 3780)
(119686, 131069, 3655)
(30052, 19968, 3853)
(125863, 55744, 3655)
(193756, 56826, 3518)
(59687, 9412, 3518)
(144063, 161326, 3853)
(20753, 40048, 3655)
(97023, 54750, 3780)
(21010, 186416, 3518)
(4468, 61448, 3853)
(6, 94835, 3518)
(45113, 190725, 3780)
(103227, 54608, 3679)
(68121, 8617, 3518)
(92747, 154280, 3853)
(169546, 146433, 3853)
(50104, 70550, 3655)
(12923, 12714, 3518)
(49870, 330, 3780)
(176940, 68480, 3780)
(84469, 52281, 3780)
(116365, 123521, 3538)
(23109, 16618, 3853)
(192269, 43440, 3679)
(137188, 10889, 3780)
(62016, 67426, 3853)
(197252, 47649, 3518)
(141941, 78320, 3655)
(81665, 20401, 3780)
(87955, 194441, 3853)
(165260, 163711, 3518)
(11088, 180646, 3679)
(84438, 158575, 3587)
(15150, 26536, 3518)
(58022, 130945, 3587)
(186148, 139745, 3853)
(9252, 194809, 3518)
(125739, 178239, 3780)
(111715, 86462, 3780)
(1740, 138651, 3655)
(82805, 1777, 3142)
(17880, 32179, 3284)
(108119, 39342, 3538)
(11308, 24540, 3780)
(127448, 45169, 3780)
(41386, 58611, 3853)
(194654, 161470, 3853)
(183727, 66454, 3655)
(136295, 15262, 3587)
(20508, 51722, 3405)
(5519, 110167, 3361)
(10704, 81023, 3780)
(175166, 143926, 3853)
(27956, 69835, 3853)
(107548, 56718, 3780)
(139121, 57070, 3853)
(75284, 140213, 3853)
(189378, 57143, 3780)
(43186, 186867, 3853)
(126590, 43941, 3655)
(162003, 2847, 3587)
(171398, 90606, 3518)
(19574, 154746, 3518)
(169547, 168004, 3853)
(123819, 90906, 3853)
(152502, 62890, 3780)
(57915, 12085, 3587)
(190082, 29352, 3853)
(116426, 153775, 3780)
(150320, 16408, 3538)
(187352, 32802, 3780)
(146506, 112738, 3780)
(105946, 8414, 3780)
(1570, 14385, 3853)
(19868, 143480, 3780)
(181472, 87661, 3853)
(55184, 14006, 3780)
(138892, 1365, 3780)
(139305, 59160, 3853)
(140820, 60536, 3853)
(22022, 98900, 3853)
(90834, 86772, 3853)
(45978, 38609, 3853)
(33360, 104264, 3780)
(23959, 173119, 3518)
(156405, 134819, 3679)
(115929, 21423, 3655)
(98071, 101237, 3853)
(70755, 196206, 3679)
(91168, 105760, 3853)
(125062, 151002, 3679)
(51201, 109239, 3655)
(50088, 102096, 3780)
(138390, 76777, 3853)
(98561, 99139, 3655)
(2142, 143254, 3518)
(111460, 22724, 3518)
(128701, 146506, 3853)
(68198, 128632, 3780)
(179384, 56435, 3853)
(76020, 47797, 3655)
(68170, 109275, 3853)
(159754, 182716, 3853)
(21325, 12366, 3518)
(23657, 93978, 3655)
(73326, 83289, 3780)
(87088, 63714, 3853)
(188377, 152904, 3780)
(130080, 179692, 3853)
(77769, 104999, 3853)
(4773, 44862, 3655)
(123581, 144720, 3655)
(41047, 153974, 3780)
(164921, 108066, 3780)
(151514, 52258, 3655)
(174969, 4345, 3780)
(119488, 75109, 3518)
(142730, 132657, 3518)
(57930, 147665, 3853)
(91037, 57931, 3780)
(183694, 27461, 3655)
(162076, 38085, 3518)
(37962, 53340, 3655)
(92467, 26367, 3655)
(177339, 68736, 3780)
(91903, 193814, 3679)
(80211, 128655, 3518)
(136501, 15897, 3780)
(63698, 15403, 3679)
(118845, 120953, 3655)
(37574, 73797, 3361)
(19520, 157497, 3853)
(80636, 90980, 3518)
(194631, 96384, 3518)
(83207, 188098, 3518)
(10140, 98784, 3780)
(14472, 130793, 3655)
(118677, 23040, 3780)
(3988, 36223, 3780)
(25571, 70103, 3518)
(37853, 54, 3853)
(195990, 101144, 3655)
(146829, 130542, 3853)
(14672, 109890, 3780)
(85506, 149064, 3780)
(13122, 96874, 3853)
(61679, 157010, 3853)
(36231, 127006, 3655)
(19436, 150414, 3780)
(117162, 171792, 3518)
(3440, 184862, 3655)
(84075, 146788, 3780)
(32685, 6469, 3518)
(1711, 178481, 3518)
(43956, 39692, 3518)
(108997, 120805, 3780)
(19292, 89447, 3853)
(80065, 148541, 3853)
(27586, 168716, 3655)
(189529, 66393, 3853)
(130943, 167746, 3260)
(146193, 22175, 3780)
(174884, 164601, 3853)
(59847, 125653, 3853)
(4897, 17438, 3655)
(43659, 26926, 3780)
(13189, 147347, 3853)
(110973, 33230, 3853)
(170136, 3353, 3780)
(54796, 91178, 3853)
(133988, 177106, 3780)
(54681, 1008, 3853)
(60611, 1534, 3518)
(12605, 177949, 3655)
(23599, 55496, 3853)
(31562, 45, 3780)
(125661, 2165, 3780)
(80345, 154469, 3780)
(22599, 11310, 3518)
(161461, 191275, 3780)
(24462, 111276, 3780)
(12288, 42964, 3853)
(58807, 77685, 3853)
(154586, 19189, 3780)
(112923, 65990, 3655)
(11255, 86510, 3538)
(97289, 12342, 3518)
(33929, 43446, 3518)
(74254, 39143, 3518)
(93223, 89256, 3853)
(62601, 69781, 3853)
(109456, 37453, 3780)
(2501, 2737, 3587)
(25399, 76436, 3780)
(183103, 51309, 3655)
(154572, 78745, 3518)
(51172, 143383, 3780)
(134764, 29441, 3780)
(176562, 45774, 3780)
(76773, 20488, 3853)
(170910, 10527, 3780)
(199903, 60423, 3655)
(83942, 69755, 3780)
(13883, 9721, 3679)
(23820, 110897, 3853)
